number1,win,draws
13,False,2
26,False,2
18,True,2
16,False,2
2,False,2
3,False,2
16,False,2
15,False,2
9,False,2
14,False,2
24,False,2
5,False,2
8,False,2
20,True,2
22,False,2
17,True,2
22,False,2
11,False,2
13,False,2
26,False,2
12,False,2
24,False,2
13,False,2
23,False,2
16,False,2
21,True,2
14,False,2
20,True,2
19,True,2
11,False,2
16,False,2
18,True,2
24,False,2
18,True,2
23,False,2
7,False,2
17,True,2
22,False,2
13,False,2
20,True,2
13,False,2
23,False,2
13,False,2
24,False,2
24,False,2
14,False,2
17,True,2
20,True,2
12,False,2
24,False,2
13,False,2
20,True,2
17,True,2
5,False,2
17,True,2
15,False,2
8,False,2
19,True,2
8,False,2
17,True,2
12,False,2
25,False,2
16,False,2
19,True,2
21,True,2
21,True,2
14,False,2
21,True,2
13,False,2
20,True,2
12,False,2
23,False,2
20,True,2
12,False,2
20,True,2
20,True,2
22,False,2
9,False,2
20,True,2
19,True,2
17,True,2
10,False,2
20,True,2
12,False,2
16,False,2
14,False,2
19,True,2
23,False,2
14,False,2
20,True,2
17,True,2
13,False,2
19,True,2
18,True,2
10,False,2
17,True,2
17,True,2
23,False,2
18,True,2
14,False,2
15,False,2
19,True,2
4,False,2
6,False,2
9,False,2
21,True,2
14,False,2
19,True,2
10,False,2
22,False,2
15,False,2
19,True,2
16,False,2
17,True,2
13,False,2
25,False,2
13,False,2
19,True,2
12,False,2
15,False,2
17,True,2
22,False,2
21,True,2
9,False,2
20,True,2
22,False,2
11,False,2
16,False,2
14,False,2
21,True,2
12,False,2
17,True,2
12,False,2
18,True,2
15,False,2
18,True,2
8,False,2
17,True,2
17,True,2
12,False,2
18,True,2
7,False,2
9,False,2
19,True,2
9,False,2
16,False,2
13,False,2
18,True,2
9,False,2
22,False,2
13,False,2
14,False,2
25,False,2
15,False,2
24,False,2
15,False,2
23,False,2
12,False,2
19,True,2
11,False,2
21,True,2
20,True,2
5,False,2
6,False,2
14,False,2
24,False,2
6,False,2
15,False,2
14,False,2
16,False,2
14,False,2
25,False,2
15,False,2
17,True,2
20,True,2
8,False,2
19,True,2
7,False,2
8,False,2
15,False,2
4,False,2
10,False,2
16,False,2
23,False,2
13,False,2
14,False,2
25,False,2
14,False,2
17,True,2
14,False,2
23,False,2
10,False,2
18,True,2
21,True,2
15,False,2
13,False,2
22,False,2
11,False,2
16,False,2
7,False,2
20,True,2
8,False,2
17,True,2
23,False,2
9,False,2
15,False,2
11,False,2
22,False,2
3,False,2
15,False,2
20,True,2
8,False,2
18,True,2
11,False,2
20,True,2
17,True,2
15,False,2
15,False,2
17,True,2
8,False,2
20,True,2
14,False,2
27,False,2
16,False,2
11,False,2
18,True,2
13,False,2
22,False,2
13,False,2
23,False,2
12,False,2
24,False,2
8,False,2
13,False,2
26,False,2
24,False,2
19,True,2
8,False,2
21,True,2
17,True,2
15,False,2
12,False,2
21,True,2
4,False,2
14,False,2
18,True,2
26,False,2
20,True,2
10,False,2
11,False,2
14,False,2
18,True,2
12,False,2
20,True,2
18,True,2
12,False,2
17,True,2
20,True,2
14,False,2
18,True,2
8,False,2
13,False,2
16,False,2
8,False,2
16,False,2
4,False,2
12,False,2
16,False,2
20,True,2
12,False,2
21,True,2
15,False,2
14,False,2
25,False,2
11,False,2
15,False,2
19,True,2
12,False,2
15,False,2
14,False,2
27,False,2
15,False,2
13,False,2
16,False,2
9,False,2
10,False,2
21,True,2
15,False,2
15,False,2
18,True,2
17,True,2
10,False,2
16,False,2
10,False,2
16,False,2
15,False,2
12,False,2
18,True,2
9,False,2
12,False,2
22,False,2
14,False,2
26,False,2
17,True,2
16,False,2
3,False,2
16,False,2
15,False,2
14,False,2
21,True,2
19,True,2
13,False,2
24,False,2
19,True,2
16,False,2
14,False,2
26,False,2
12,False,2
23,False,2
9,False,2
19,True,2
17,True,2
12,False,2
16,False,2
7,False,2
12,False,2
16,False,2
12,False,2
14,False,2
16,False,2
6,False,2
16,False,2
16,False,2
21,True,2
15,False,2
19,True,2
10,False,2
22,False,2
19,True,2
20,True,2
5,False,2
12,False,2
14,False,2
27,False,2
6,False,2
19,True,2
3,False,2
10,False,2
12,False,2
13,False,2
22,False,2
14,False,2
25,False,2
17,True,2
16,False,2
16,False,2
7,False,2
17,True,2
19,True,2
14,False,2
23,False,2
8,False,2
15,False,2
16,False,2
19,True,2
19,True,2
19,True,2
23,False,2
10,False,2
20,True,2
5,False,2
13,False,2
22,False,2
12,False,2
20,True,2
14,False,2
25,False,2
15,False,2
14,False,2
19,True,2
20,True,2
24,False,2
10,False,2
23,False,2
11,False,2
17,True,2
4,False,2
17,True,2
7,False,2
15,False,2
12,False,2
16,False,2
6,False,2
15,False,2
10,False,2
16,False,2
18,True,2
14,False,2
27,False,2
16,False,2
20,True,2
17,True,2
19,True,2
9,False,2
10,False,2
12,False,2
14,False,2
18,True,2
14,False,2
21,True,2
15,False,2
4,False,2
13,False,2
19,True,2
12,False,2
14,False,2
26,False,2
18,True,2
9,False,2
13,False,2
14,False,2
27,False,2
12,False,2
21,True,2
8,False,2
13,False,2
21,True,2
6,False,2
16,False,2
8,False,2
11,False,2
13,False,2
20,True,2
8,False,2
9,False,2
16,False,2
22,False,2
22,False,2
15,False,2
17,True,2
11,False,2
16,False,2
12,False,2
18,True,2
10,False,2
18,True,2
12,False,2
17,True,2
16,False,2
21,True,2
14,False,2
27,False,2
19,True,2
9,False,2
11,False,2
18,True,2
9,False,2
17,True,2
4,False,2
8,False,2
9,False,2
16,False,2
24,False,2
17,True,2
15,False,2
23,False,2
13,False,2
24,False,2
17,True,2
24,False,2
13,False,2
20,True,2
6,False,2
13,False,2
26,False,2
10,False,2
16,False,2
17,True,2
12,False,2
14,False,2
17,True,2
17,True,2
14,False,2
22,False,2
14,False,2
21,True,2
24,False,2
13,False,2
15,False,2
13,False,2
14,False,2
15,False,2
19,True,2
11,False,2
17,True,2
10,False,2
21,True,2
9,False,2
10,False,2
14,False,2
18,True,2
6,False,2
13,False,2
16,False,2
25,False,2
12,False,2
25,False,2
10,False,2
12,False,2
17,True,2
10,False,2
12,False,2
18,True,2
14,False,2
15,False,2
16,False,2
18,True,2
6,False,2
14,False,2
22,False,2
18,True,2
7,False,2
19,True,2
5,False,2
15,False,2
9,False,2
10,False,2
13,False,2
17,True,2
15,False,2
17,True,2
15,False,2
12,False,2
14,False,2
24,False,2
24,False,2
23,False,2
15,False,2
19,True,2
13,False,2
23,False,2
14,False,2
20,True,2
2,False,2
4,False,2
8,False,2
17,True,2
11,False,2
19,True,2
11,False,2
24,False,2
9,False,2
20,True,2
3,False,2
14,False,2
26,False,2
13,False,2
24,False,2
12,False,2
24,False,2
8,False,2
11,False,2
12,False,2
14,False,2
16,False,2
8,False,2
13,False,2
19,True,2
14,False,2
22,False,2
25,False,2
12,False,2
16,False,2
13,False,2
25,False,2
14,False,2
26,False,2
20,True,2
6,False,2
14,False,2
22,False,2
12,False,2
15,False,2
14,False,2
17,True,2
19,True,2
15,False,2
23,False,2
22,False,2
7,False,2
16,False,2
17,True,2
10,False,2
13,False,2
15,False,2
22,False,2
5,False,2
6,False,2
8,False,2
17,True,2
13,False,2
17,True,2
18,True,2
13,False,2
16,False,2
7,False,2
19,True,2
11,False,2
23,False,2
24,False,2
22,False,2
21,True,2
25,False,2
14,False,2
20,True,2
17,True,2
16,False,2
19,True,2
9,False,2
11,False,2
13,False,2
23,False,2
15,False,2
9,False,2
14,False,2
19,True,2
14,False,2
27,False,2
15,False,2
7,False,2
8,False,2
20,True,2
14,False,2
20,True,2
11,False,2
22,False,2
23,False,2
12,False,2
18,True,2
4,False,2
8,False,2
9,False,2
22,False,2
12,False,2
13,False,2
22,False,2
16,False,2
13,False,2
23,False,2
13,False,2
23,False,2
15,False,2
13,False,2
20,True,2
15,False,2
26,False,2
14,False,2
27,False,2
16,False,2
8,False,2
10,False,2
11,False,2
22,False,2
4,False,2
14,False,2
23,False,2
16,False,2
7,False,2
8,False,2
21,True,2
16,False,2
15,False,2
7,False,2
8,False,2
16,False,2
17,True,2
16,False,2
14,False,2
24,False,2
7,False,2
19,True,2
13,False,2
25,False,2
9,False,2
13,False,2
21,True,2
12,False,2
18,True,2
7,False,2
16,False,2
14,False,2
23,False,2
12,False,2
14,False,2
26,False,2
11,False,2
15,False,2
13,False,2
20,True,2
18,True,2
3,False,2
11,False,2
24,False,2
7,False,2
14,False,2
20,True,2
16,False,2
13,False,2
16,False,2
13,False,2
19,True,2
10,False,2
17,True,2
17,True,2
18,True,2
6,False,2
9,False,2
19,True,2
17,True,2
16,False,2
16,False,2
8,False,2
13,False,2
20,True,2
11,False,2
16,False,2
14,False,2
20,True,2
6,False,2
7,False,2
14,False,2
24,False,2
13,False,2
17,True,2
14,False,2
23,False,2
15,False,2
13,False,2
25,False,2
13,False,2
26,False,2
5,False,2
12,False,2
21,True,2
9,False,2
19,True,2
15,False,2
24,False,2
16,False,2
18,True,2
19,True,2
23,False,2
9,False,2
22,False,2
5,False,2
9,False,2
10,False,2
18,True,2
8,False,2
12,False,2
13,False,2
26,False,2
13,False,2
24,False,2
10,False,2
20,True,2
18,True,2
12,False,2
18,True,2
16,False,2
4,False,2
17,True,2
22,False,2
10,False,2
15,False,2
11,False,2
21,True,2
25,False,2
16,False,2
20,True,2
16,False,2
16,False,2
18,True,2
17,True,2
22,False,2
12,False,2
16,False,2
14,False,2
25,False,2
8,False,2
10,False,2
21,True,2
18,True,2
18,True,2
5,False,2
6,False,2
9,False,2
16,False,2
12,False,2
23,False,2
5,False,2
8,False,2
14,False,2
24,False,2
16,False,2
16,False,2
14,False,2
24,False,2
9,False,2
10,False,2
21,True,2
11,False,2
13,False,2
16,False,2
6,False,2
11,False,2
18,True,2
11,False,2
14,False,2
24,False,2
19,True,2
22,False,2
17,True,2
15,False,2
9,False,2
21,True,2
17,True,2
16,False,2
14,False,2
19,True,2
6,False,2
7,False,2
20,True,2
12,False,2
24,False,2
15,False,2
6,False,2
15,False,2
14,False,2
22,False,2
14,False,2
19,True,2
6,False,2
14,False,2
27,False,2
19,True,2
22,False,2
12,False,2
22,False,2
12,False,2
21,True,2
12,False,2
24,False,2
8,False,2
16,False,2
9,False,2
14,False,2
25,False,2
15,False,2
16,False,2
19,True,2
19,True,2
5,False,2
12,False,2
16,False,2
3,False,2
4,False,2
11,False,2
24,False,2
12,False,2
25,False,2
13,False,2
19,True,2
18,True,2
10,False,2
17,True,2
11,False,2
22,False,2
18,True,2
8,False,2
10,False,2
16,False,2
13,False,2
23,False,2
20,True,2
13,False,2
18,True,2
15,False,2
7,False,2
18,True,2
6,False,2
16,False,2
26,False,2
24,False,2
26,False,2
23,False,2
22,False,2
6,False,2
10,False,2
14,False,2
19,True,2
14,False,2
25,False,2
6,False,2
15,False,2
23,False,2
20,True,2
18,True,2
19,True,2
6,False,2
15,False,2
9,False,2
10,False,2
17,True,2
20,True,2
16,False,2
5,False,2
18,True,2
25,False,2
15,False,2
21,True,2
10,False,2
14,False,2
19,True,2
11,False,2
23,False,2
12,False,2
21,True,2
16,False,2
13,False,2
15,False,2
9,False,2
15,False,2
20,True,2
14,False,2
17,True,2
16,False,2
6,False,2
12,False,2
21,True,2
14,False,2
18,True,2
20,True,2
15,False,2
15,False,2
18,True,2
25,False,2
25,False,2
6,False,2
10,False,2
16,False,2
10,False,2
13,False,2
17,True,2
12,False,2
23,False,2
12,False,2
23,False,2
11,False,2
23,False,2
11,False,2
22,False,2
21,True,2
19,True,2
25,False,2
5,False,2
7,False,2
16,False,2
20,True,2
6,False,2
14,False,2
15,False,2
12,False,2
15,False,2
14,False,2
26,False,2
11,False,2
21,True,2
9,False,2
15,False,2
15,False,2
21,True,2
8,False,2
9,False,2
22,False,2
10,False,2
15,False,2
21,True,2
9,False,2
11,False,2
17,True,2
19,True,2
16,False,2
23,False,2
12,False,2
13,False,2
22,False,2
21,True,2
17,True,2
19,True,2
17,True,2
18,True,2
16,False,2
19,True,2
16,False,2
13,False,2
16,False,2
11,False,2
18,True,2
3,False,2
16,False,2
5,False,2
16,False,2
18,True,2
13,False,2
18,True,2
23,False,2
11,False,2
24,False,2
8,False,2
11,False,2
15,False,2
20,True,2
18,True,2
7,False,2
12,False,2
13,False,2
19,True,2
2,False,2
11,False,2
18,True,2
7,False,2
15,False,2
16,False,2
12,False,2
13,False,2
17,True,2
3,False,2
10,False,2
15,False,2
15,False,2
14,False,2
27,False,2
20,True,2
8,False,2
16,False,2
16,False,2
15,False,2
17,True,2
11,False,2
23,False,2
15,False,2
6,False,2
14,False,2
19,True,2
15,False,2
19,True,2
13,False,2
26,False,2
12,False,2
22,False,2
22,False,2
13,False,2
23,False,2
11,False,2
19,True,2
12,False,2
25,False,2
23,False,2
15,False,2
22,False,2
7,False,2
10,False,2
17,True,2
13,False,2
19,True,2
19,True,2
11,False,2
17,True,2
11,False,2
13,False,2
16,False,2
21,True,2
13,False,2
21,True,2
16,False,2
12,False,2
13,False,2
22,False,2
9,False,2
15,False,2
14,False,2
18,True,2
16,False,2
7,False,2
10,False,2
20,True,2
15,False,2
13,False,2
16,False,2
11,False,2
13,False,2
15,False,2
10,False,2
21,True,2
11,False,2
19,True,2
13,False,2
20,True,2
21,True,2
11,False,2
19,True,2
17,True,2
4,False,2
7,False,2
8,False,2
16,False,2
18,True,2
22,False,2
13,False,2
26,False,2
22,False,2
24,False,2
21,True,2
11,False,2
15,False,2
18,True,2
20,True,2
13,False,2
25,False,2
18,True,2
15,False,2
9,False,2
11,False,2
23,False,2
16,False,2
14,False,2
20,True,2
20,True,2
23,False,2
6,False,2
7,False,2
11,False,2
13,False,2
20,True,2
14,False,2
18,True,2
17,True,2
18,True,2
5,False,2
12,False,2
21,True,2
19,True,2
13,False,2
21,True,2
4,False,2
16,False,2
8,False,2
13,False,2
22,False,2
11,False,2
12,False,2
13,False,2
22,False,2
11,False,2
20,True,2
14,False,2
16,False,2
12,False,2
21,True,2
7,False,2
16,False,2
15,False,2
11,False,2
16,False,2
13,False,2
19,True,2
13,False,2
24,False,2
18,True,2
20,True,2
25,False,2
16,False,2
19,True,2
22,False,2
9,False,2
11,False,2
17,True,2
4,False,2
17,True,2
17,True,2
7,False,2
15,False,2
16,False,2
11,False,2
24,False,2
12,False,2
21,True,2
20,True,2
15,False,2
12,False,2
17,True,2
9,False,2
13,False,2
20,True,2
19,True,2
14,False,2
25,False,2
23,False,2
15,False,2
19,True,2
16,False,2
25,False,2
19,True,2
12,False,2
24,False,2
10,False,2
22,False,2
11,False,2
18,True,2
13,False,2
14,False,2
24,False,2
16,False,2
10,False,2
18,True,2
26,False,2
13,False,2
14,False,2
25,False,2
13,False,2
22,False,2
4,False,2
14,False,2
22,False,2
23,False,2
5,False,2
13,False,2
25,False,2
25,False,2
13,False,2
21,True,2
23,False,2
23,False,2
19,True,2
19,True,2
7,False,2
13,False,2
26,False,2
15,False,2
14,False,2
20,True,2
5,False,2
18,True,2
21,True,2
6,False,2
19,True,2
12,False,2
13,False,2
22,False,2
10,False,2
19,True,2
12,False,2
25,False,2
5,False,2
16,False,2
15,False,2
19,True,2
20,True,2
12,False,2
25,False,2
15,False,2
7,False,2
19,True,2
8,False,2
14,False,2
26,False,2
11,False,2
15,False,2
19,True,2
12,False,2
15,False,2
13,False,2
16,False,2
21,True,2
7,False,2
20,True,2
14,False,2
21,True,2
11,False,2
22,False,2
16,False,2
21,True,2
17,True,2
17,True,2
11,False,2
23,False,2
9,False,2
14,False,2
23,False,2
20,True,2
9,False,2
17,True,2
15,False,2
10,False,2
21,True,2
25,False,2
22,False,2
24,False,2
11,False,2
20,True,2
12,False,2
22,False,2
23,False,2
20,True,2
24,False,2
18,True,2
9,False,2
11,False,2
24,False,2
18,True,2
10,False,2
23,False,2
20,True,2
8,False,2
9,False,2
17,True,2
4,False,2
5,False,2
8,False,2
18,True,2
14,False,2
21,True,2
13,False,2
21,True,2
14,False,2
26,False,2
20,True,2
23,False,2
16,False,2
16,False,2
16,False,2
11,False,2
24,False,2
8,False,2
9,False,2
14,False,2
17,True,2
17,True,2
23,False,2
12,False,2
25,False,2
7,False,2
16,False,2
19,True,2
23,False,2
2,False,2
6,False,2
13,False,2
26,False,2
15,False,2
21,True,2
14,False,2
23,False,2
10,False,2
16,False,2
12,False,2
16,False,2
9,False,2
11,False,2
19,True,2
4,False,2
6,False,2
16,False,2
19,True,2
16,False,2
15,False,2
9,False,2
10,False,2
14,False,2
20,True,2
21,True,2
14,False,2
18,True,2
10,False,2
18,True,2
5,False,2
15,False,2
8,False,2
14,False,2
25,False,2
19,True,2
26,False,2
8,False,2
18,True,2
18,True,2
20,True,2
16,False,2
15,False,2
21,True,2
14,False,2
25,False,2
19,True,2
17,True,2
16,False,2
16,False,2
21,True,2
9,False,2
14,False,2
23,False,2
7,False,2
16,False,2
5,False,2
10,False,2
23,False,2
18,True,2
12,False,2
16,False,2
23,False,2
4,False,2
13,False,2
26,False,2
13,False,2
20,True,2
17,True,2
19,True,2
12,False,2
22,False,2
21,True,2
16,False,2
9,False,2
20,True,2
18,True,2
19,True,2
11,False,2
22,False,2
18,True,2
14,False,2
22,False,2
15,False,2
11,False,2
24,False,2
8,False,2
10,False,2
22,False,2
19,True,2
15,False,2
21,True,2
10,False,2
21,True,2
14,False,2
20,True,2
14,False,2
25,False,2
14,False,2
22,False,2
21,True,2
17,True,2
21,True,2
18,True,2
13,False,2
17,True,2
21,True,2
21,True,2
7,False,2
13,False,2
24,False,2
12,False,2
19,True,2
8,False,2
19,True,2
11,False,2
12,False,2
17,True,2
23,False,2
16,False,2
15,False,2
12,False,2
15,False,2
11,False,2
16,False,2
19,True,2
10,False,2
23,False,2
16,False,2
22,False,2
5,False,2
17,True,2
17,True,2
10,False,2
13,False,2
16,False,2
15,False,2
7,False,2
14,False,2
18,True,2
8,False,2
14,False,2
22,False,2
10,False,2
16,False,2
14,False,2
21,True,2
10,False,2
19,True,2
11,False,2
23,False,2
9,False,2
18,True,2
8,False,2
21,True,2
17,True,2
15,False,2
4,False,2
8,False,2
13,False,2
25,False,2
22,False,2
22,False,2
7,False,2
18,True,2
16,False,2
7,False,2
18,True,2
17,True,2
9,False,2
19,True,2
21,True,2
20,True,2
14,False,2
25,False,2
14,False,2
26,False,2
7,False,2
9,False,2
11,False,2
23,False,2
24,False,2
14,False,2
16,False,2
18,True,2
17,True,2
10,False,2
20,True,2
12,False,2
14,False,2
23,False,2
14,False,2
17,True,2
2,False,2
10,False,2
16,False,2
17,True,2
14,False,2
15,False,2
12,False,2
16,False,2
9,False,2
13,False,2
14,False,2
24,False,2
11,False,2
12,False,2
13,False,2
17,True,2
11,False,2
13,False,2
21,True,2
14,False,2
25,False,2
18,True,2
15,False,2
11,False,2
23,False,2
17,True,2
22,False,2
16,False,2
17,True,2
19,True,2
7,False,2
14,False,2
19,True,2
14,False,2
17,True,2
11,False,2
17,True,2
24,False,2
15,False,2
15,False,2
11,False,2
23,False,2
26,False,2
11,False,2
23,False,2
8,False,2
20,True,2
12,False,2
19,True,2
14,False,2
23,False,2
10,False,2
13,False,2
19,True,2
25,False,2
20,True,2
10,False,2
18,True,2
17,True,2
23,False,2
17,True,2
11,False,2
16,False,2
18,True,2
23,False,2
19,True,2
6,False,2
7,False,2
9,False,2
16,False,2
15,False,2
17,True,2
20,True,2
19,True,2
11,False,2
22,False,2
9,False,2
15,False,2
13,False,2
21,True,2
12,False,2
23,False,2
14,False,2
27,False,2
11,False,2
23,False,2
15,False,2
17,True,2
7,False,2
18,True,2
13,False,2
15,False,2
9,False,2
22,False,2
13,False,2
17,True,2
11,False,2
13,False,2
16,False,2
10,False,2
16,False,2
9,False,2
18,True,2
8,False,2
17,True,2
10,False,2
16,False,2
18,True,2
18,True,2
14,False,2
17,True,2
13,False,2
19,True,2
10,False,2
15,False,2
16,False,2
14,False,2
16,False,2
5,False,2
12,False,2
18,True,2
16,False,2
16,False,2
5,False,2
10,False,2
16,False,2
11,False,2
13,False,2
14,False,2
19,True,2
16,False,2
20,True,2
13,False,2
15,False,2
16,False,2
12,False,2
22,False,2
24,False,2
14,False,2
21,True,2
5,False,2
16,False,2
11,False,2
21,True,2
10,False,2
11,False,2
16,False,2
23,False,2
8,False,2
10,False,2
19,True,2
18,True,2
9,False,2
14,False,2
18,True,2
14,False,2
27,False,2
17,True,2
15,False,2
14,False,2
21,True,2
14,False,2
15,False,2
15,False,2
18,True,2
11,False,2
14,False,2
23,False,2
26,False,2
22,False,2
15,False,2
18,True,2
15,False,2
26,False,2
25,False,2
15,False,2
12,False,2
15,False,2
21,True,2
12,False,2
13,False,2
21,True,2
15,False,2
13,False,2
22,False,2
14,False,2
25,False,2
6,False,2
8,False,2
15,False,2
18,True,2
14,False,2
26,False,2
11,False,2
20,True,2
23,False,2
8,False,2
16,False,2
10,False,2
11,False,2
12,False,2
25,False,2
9,False,2
17,True,2
14,False,2
27,False,2
14,False,2
21,True,2
18,True,2
10,False,2
18,True,2
3,False,2
12,False,2
25,False,2
21,True,2
15,False,2
16,False,2
12,False,2
25,False,2
6,False,2
12,False,2
17,True,2
4,False,2
10,False,2
22,False,2
13,False,2
24,False,2
17,True,2
9,False,2
12,False,2
19,True,2
22,False,2
21,True,2
13,False,2
26,False,2
18,True,2
9,False,2
19,True,2
20,True,2
26,False,2
13,False,2
18,True,2
8,False,2
14,False,2
21,True,2
17,True,2
18,True,2
16,False,2
17,True,2
